nodeID,nodeType,parentID,option,nodeText,ScenarioCategory,H_p,H_a,TypeOfCase,ProfileCategorie,POI,CP,n,Location,POImatchingCategory,TransferConsiderations,Substrate,PersistenceTime,PersistenceEnvironment,PersistenceInterveningActivities,SocialInteractions,Washed
1,selectbox,null,null,Type of case?,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2,textarea,1,blood,"The prosecution's activity level proposition is that the Suspect ______________ the Complainant.  Please fill in the blank (e.g., assaulted, stabbed).",null,null,null,blood,null,null,null,null,null,null,null,null,null,null,null,null,null
3,selectbox,1,sexual assault,What is the prosecution's activity level proposition?,null,null,null,sexual assault,null,null,null,null,null,null,null,null,null,null,null,null,null
4,textarea,1,trace DNA (airbag),"The prosecution's activity level proposition is that the Suspect drove the car between ______________ (date, time)",null,null,null,trace DNA,null,null,null,null,null,null,null,null,null,null,null,null,null
5,textarea,2,null,"In the prosecution's proposition, what weapon did the Suspect use?  (e.g., a knife, a baseball bat, an unknown weapon, no weapon)",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
6,selectbox,5,null,What is the alternative proposition / scenario?,null,The Suspect ___________ the Complainant with ____________ .,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
7,selectbox,3,Suspect had vaginal intercourse with Complainant,What is the alternative proposition / scenario?,null,Suspect had vaginal intercourse with Complainant,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
8,selectbox,3,Suspect digitally penetrated Complainant,What is the alternative proposition / scenario?,null,Suspect digitally penetrated Complainant,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
9,selectbox,3,Suspect licked/sucked breast(s) of Complainant,What is the alternative proposition / scenario?,null,Suspect licked/sucked breast(s) of Complainant,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
10,textarea,4,null,"and ______________ (date, time)",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
11,selectbox,10,null,What is the alternative proposition / scenario?,null,The Suspect drove the car between __________ and ____________ .,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
12,selectbox,6,Someone else performed this activity,Who is considered the person of interest?  (Whose DNA do we expect to see if H_p is true?),3,null,Someone else ___________ Complainant with _________,null,null,null,null,null,null,null,null,null,null,null,null,null,null
13,selectbox,6,Suspect performed this activity on someone else,Who is considered the person of interest?  (Whose DNA do we expect to see if H_p is true?),3,null,Suspect ___________ someone else with ___________,null,null,null,null,null,null,null,null,null,null,null,null,null,null
14,textarea,6,Suspect performed this activity at a different time,What is the alternative proposition?,2,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null
